gateway-1  | 
gateway-1  |   .   ____          _            __ _ _
gateway-1  |  /\\ / ___'_ __ _ _(_)_ __  __ _ \ \ \ \
gateway-1  | ( ( )\___ | '_ | '_| | '_ \/ _` | \ \ \ \
gateway-1  |  \\/  ___)| |_)| | | | | || (_| |  ) ) ) )
gateway-1  |   '  |____| .__|_| |_|_| |_\__, | / / / /
gateway-1  |  =========|_|==============|___/=/_/_/_/
gateway-1  | 
gateway-1  |  :: Spring Boot ::                (v4.0.6)
gateway-1  | 
gateway-1  | 2026-05-01T04:45:25.723Z  INFO 1 --- [gateway] [           main] c.e.spring_cloud.gateway.Application     : Starting Application v0.0.1-SNAPSHOT using Java 25.0.2 with PID 1 (/application/BOOT-INF/classes started by spring in /application)
gateway-1  | 2026-05-01T04:45:25.729Z  INFO 1 --- [gateway] [           main] c.e.spring_cloud.gateway.Application     : The following 1 profile is active: "docker"
gateway-1  | 2026-05-01T04:45:27.447Z TRACE 1 --- [gateway] [           main] o.s.c.g.c.c.OnEnabledGlobalFilter        : Condition OnEnabledGlobalFilter on org.springframework.cloud.gateway.config.GatewayReactiveLoadBalancerClientAutoConfiguration#gatewayLoadBalancerClientFilter matched
gateway-1  | 2026-05-01T04:45:27.455Z TRACE 1 --- [gateway] [           main] o.s.c.g.c.c.OnEnabledGlobalFilter        : Condition OnEnabledGlobalFilter on org.springframework.cloud.gateway.config.GatewayReactiveLoadBalancerClientAutoConfiguration#loadBalancerServiceInstanceCookieFilter matched
gateway-1  | 2026-05-01T04:45:27.474Z TRACE 1 --- [gateway] [           main] Configuration$OnVerboseDisabledCondition : Condition GatewayAutoConfiguration.OnVerboseDisabledCondition on org.springframework.cloud.gateway.config.GatewayAutoConfiguration$GatewayActuatorConfiguration#gatewayLegacyControllerEndpoint did not match due to NoneNestedConditions 1 matched 0 did not; NestedCondition on GatewayAutoConfiguration.OnVerboseDisabledCondition.VerboseDisabled @ConditionalOnProperty (spring.cloud.gateway.server.webflux.actuator.verbose.enabled) matched
gateway-1  | 2026-05-01T04:45:27.476Z TRACE 1 --- [gateway] [           main] TrustedProxies$OnPropertyExistsCondition : Condition TrustedProxies.OnPropertyExistsCondition on org.springframework.cloud.gateway.config.GatewayAutoConfiguration$NettyConfiguration#gatewayNettyServerCustomizer matched due to spring.cloud.gateway.server.webflux.trusted-proxies property is not empty.
gateway-1  | 2026-05-01T04:45:27.499Z TRACE 1 --- [gateway] [           main] o.s.c.g.c.c.OnEnabledGlobalFilter        : Condition OnEnabledGlobalFilter on org.springframework.cloud.gateway.config.GatewayAutoConfiguration$NettyConfiguration#routingFilter matched
gateway-1  | 2026-05-01T04:45:27.500Z TRACE 1 --- [gateway] [           main] o.s.c.g.c.c.OnEnabledGlobalFilter        : Condition OnEnabledGlobalFilter on org.springframework.cloud.gateway.config.GatewayAutoConfiguration$NettyConfiguration#nettyWriteResponseFilter matched
gateway-1  | 2026-05-01T04:45:27.502Z TRACE 1 --- [gateway] [           main] o.s.c.g.c.c.OnEnabledGlobalFilter        : Condition OnEnabledGlobalFilter on org.springframework.cloud.gateway.config.GatewayAutoConfiguration$NettyConfiguration#reactorNettyWebSocketClient matched
gateway-1  | 2026-05-01T04:45:27.503Z TRACE 1 --- [gateway] [           main] o.s.c.g.c.c.OnEnabledGlobalFilter        : Condition OnEnabledGlobalFilter on org.springframework.cloud.gateway.config.GatewayAutoConfiguration$NettyConfiguration#reactorNettyRequestUpgradeStrategy matched
gateway-1  | 2026-05-01T04:45:27.585Z TRACE 1 --- [gateway] [           main] Proxies$ForwardedTrustedProxiesCondition : Condition TrustedProxies.ForwardedTrustedProxiesCondition on org.springframework.cloud.gateway.config.GatewayAutoConfiguration#forwardedHeadersFilter matched due to AllNestedConditions 2 matched 0 did not; NestedCondition on TrustedProxies.ForwardedTrustedProxiesCondition.OnTrustedProxiesNotEmpty spring.cloud.gateway.server.webflux.trusted-proxies property is not empty.; NestedCondition on TrustedProxies.ForwardedTrustedProxiesCondition.OnPropertyEnabled @ConditionalOnProperty (spring.cloud.gateway.server.webflux.forwarded.enabled) matched
gateway-1  | 2026-05-01T04:45:27.588Z TRACE 1 --- [gateway] [           main] roxies$XForwardedTrustedProxiesCondition : Condition TrustedProxies.XForwardedTrustedProxiesCondition on org.springframework.cloud.gateway.config.GatewayAutoConfiguration#xForwardedHeadersFilter matched due to AllNestedConditions 2 matched 0 did not; NestedCondition on TrustedProxies.XForwardedTrustedProxiesCondition.OnTrustedProxiesNotEmpty spring.cloud.gateway.server.webflux.trusted-proxies property is not empty.; NestedCondition on TrustedProxies.XForwardedTrustedProxiesCondition.OnPropertyEnabled @ConditionalOnProperty (spring.cloud.gateway.server.webflux.x-forwarded.enabled) matched
gateway-1  | 2026-05-01T04:45:27.592Z TRACE 1 --- [gateway] [           main] o.s.c.g.c.c.OnEnabledGlobalFilter        : Condition OnEnabledGlobalFilter on org.springframework.cloud.gateway.config.GatewayAutoConfiguration#adaptCachedBodyGlobalFilter matched
gateway-1  | 2026-05-01T04:45:27.594Z TRACE 1 --- [gateway] [           main] o.s.c.g.c.c.OnEnabledGlobalFilter        : Condition OnEnabledGlobalFilter on org.springframework.cloud.gateway.config.GatewayAutoConfiguration#removeCachedBodyFilter matched
gateway-1  | 2026-05-01T04:45:27.596Z TRACE 1 --- [gateway] [           main] o.s.c.g.c.c.OnEnabledGlobalFilter        : Condition OnEnabledGlobalFilter on org.springframework.cloud.gateway.config.GatewayAutoConfiguration#routeToRequestUrlFilter matched
gateway-1  | 2026-05-01T04:45:27.597Z TRACE 1 --- [gateway] [           main] o.s.c.g.c.c.OnEnabledGlobalFilter        : Condition OnEnabledGlobalFilter on org.springframework.cloud.gateway.config.GatewayAutoConfiguration#forwardRoutingFilter matched
gateway-1  | 2026-05-01T04:45:27.599Z TRACE 1 --- [gateway] [           main] o.s.c.g.c.c.OnEnabledGlobalFilter        : Condition OnEnabledGlobalFilter on org.springframework.cloud.gateway.config.GatewayAutoConfiguration#forwardPathFilter matched
gateway-1  | 2026-05-01T04:45:27.600Z TRACE 1 --- [gateway] [           main] o.s.c.g.c.c.OnEnabledGlobalFilter        : Condition OnEnabledGlobalFilter on org.springframework.cloud.gateway.config.GatewayAutoConfiguration#webSocketService matched
gateway-1  | 2026-05-01T04:45:27.602Z TRACE 1 --- [gateway] [           main] o.s.c.g.c.c.OnEnabledGlobalFilter        : Condition OnEnabledGlobalFilter on org.springframework.cloud.gateway.config.GatewayAutoConfiguration#websocketRoutingFilter matched
gateway-1  | 2026-05-01T04:45:27.604Z TRACE 1 --- [gateway] [           main] o.s.c.g.c.c.OnEnabledPredicate           : Condition OnEnabledPredicate on org.springframework.cloud.gateway.config.GatewayAutoConfiguration#weightCalculatorWebFilter matched
gateway-1  | 2026-05-01T04:45:27.605Z TRACE 1 --- [gateway] [           main] o.s.c.g.c.c.OnEnabledPredicate           : Condition OnEnabledPredicate on org.springframework.cloud.gateway.config.GatewayAutoConfiguration#afterRoutePredicateFactory matched
gateway-1  | 2026-05-01T04:45:27.606Z TRACE 1 --- [gateway] [           main] o.s.c.g.c.c.OnEnabledPredicate           : Condition OnEnabledPredicate on org.springframework.cloud.gateway.config.GatewayAutoConfiguration#beforeRoutePredicateFactory matched
gateway-1  | 2026-05-01T04:45:27.607Z TRACE 1 --- [gateway] [           main] o.s.c.g.c.c.OnEnabledPredicate           : Condition OnEnabledPredicate on org.springframework.cloud.gateway.config.GatewayAutoConfiguration#betweenRoutePredicateFactory matched
gateway-1  | 2026-05-01T04:45:27.608Z TRACE 1 --- [gateway] [           main] o.s.c.g.c.c.OnEnabledPredicate           : Condition OnEnabledPredicate on org.springframework.cloud.gateway.config.GatewayAutoConfiguration#cookieRoutePredicateFactory matched
gateway-1  | 2026-05-01T04:45:27.609Z TRACE 1 --- [gateway] [           main] o.s.c.g.c.c.OnEnabledPredicate           : Condition OnEnabledPredicate on org.springframework.cloud.gateway.config.GatewayAutoConfiguration#headerRoutePredicateFactory matched
gateway-1  | 2026-05-01T04:45:27.610Z TRACE 1 --- [gateway] [           main] o.s.c.g.c.c.OnEnabledPredicate           : Condition OnEnabledPredicate on org.springframework.cloud.gateway.config.GatewayAutoConfiguration#hostRoutePredicateFactory matched
gateway-1  | 2026-05-01T04:45:27.615Z TRACE 1 --- [gateway] [           main] o.s.c.g.c.c.OnEnabledPredicate           : Condition OnEnabledPredicate on org.springframework.cloud.gateway.config.GatewayAutoConfiguration#methodRoutePredicateFactory matched
gateway-1  | 2026-05-01T04:45:27.616Z TRACE 1 --- [gateway] [           main] o.s.c.g.c.c.OnEnabledPredicate           : Condition OnEnabledPredicate on org.springframework.cloud.gateway.config.GatewayAutoConfiguration#pathRoutePredicateFactory matched
gateway-1  | 2026-05-01T04:45:27.618Z TRACE 1 --- [gateway] [           main] o.s.c.g.c.c.OnEnabledPredicate           : Condition OnEnabledPredicate on org.springframework.cloud.gateway.config.GatewayAutoConfiguration#queryRoutePredicateFactory matched
gateway-1  | 2026-05-01T04:45:27.621Z TRACE 1 --- [gateway] [           main] o.s.c.g.c.c.OnEnabledPredicate           : Condition OnEnabledPredicate on org.springframework.cloud.gateway.config.GatewayAutoConfiguration#readBodyPredicateFactory matched
gateway-1  | 2026-05-01T04:45:27.623Z TRACE 1 --- [gateway] [           main] o.s.c.g.c.c.OnEnabledPredicate           : Condition OnEnabledPredicate on org.springframework.cloud.gateway.config.GatewayAutoConfiguration#remoteAddrRoutePredicateFactory matched
gateway-1  | 2026-05-01T04:45:27.624Z TRACE 1 --- [gateway] [           main] o.s.c.g.c.c.OnEnabledPredicate           : Condition OnEnabledPredicate on org.springframework.cloud.gateway.config.GatewayAutoConfiguration#versionRoutePredicateFactory matched
